;City;Population;Latitude;Longitude
1;Madrid;3273049;40.42;-3.71
2;Barcelona;1619337;41.4;2.17
3;Valencia;809267;39.47;-0.376
4;Seville;704198;37.4;-5.98
5;Zaragoza;649181;41.648;-0.889
6;Malaga;560631;36.72;-4.42
7;Murcia;416996;37.98;-1.13
8;Bilbao;354145;43.25;-2.93
9;Cordoba;322867;37.888;-4.779
10;Alicante;322431;38.35;-0.48
11;Valladolid;319943;41.65;-4.74
12;Vigo;293255;42.22;-8.71
13;Gijon;274472;43.53;-5.67
14;LHospitaletDeLlobregat;248150;41.35;2.1
15;ACoruna;243320;43.33;-8.42
16;Granada;237929;37.17;-3.59
17;Vitoria;227568;42.858;-2.682
18;Badalona;221520;41.45;2.24
19;Elx;219032;38.27;-0.68
20;Oviedo;214883;43.35;-5.83
21;Jerez;210861;36.68;-6.13
22;Cartagena;208609;37.625;-0.996
23;Mostoles;206301;40.32;-3.88
24;AlcalaDeHenares;201380;40.48;-3.37
25;Sabadell;200545;41.55;2.1
26;Terrassa;199817;41.57;2
27;Pamplona;195769;42.82;-1.65
28;Fuenlabrada;193715;40.27;-3.8
29;Almeria;185309;36.83;-2.43
30;SanSebastian;183308;43.32;-1.98
31;Santander;182926;43.47;-3.8
32;Leganes;182471;40.33;-3.77
33;Burgos;173676;42.35;-3.69
34;Castello;172110;39.97;-0.05
35;Alcorcon;164633;40.35;-3.82
36;Albacete;161508;39;-1.87
37;Salamanca;159754;40.97;-5.67
38;Getafe;156320;40.3;-3.73
39;Logrono;147036;42.47;-2.44
40;Huelva;145763;37.25;-6.94
41;Badajoz;143748;38.88;-6.97
42;Leon;136985;42.598;-5.567
43;Tarragona;131158;41.12;1.24
44;Cadiz;130561;36.53;-6.29
45;Lleida;125677;41.62;0.63
46;Marbella;125519;36.52;-4.89
47;SantaColomaDeGramenet;119056;41.47;2.22
48;Mataro;118748;41.54;2.44
49;Jaen;116769;37.77;-3.8
50;DosHermanas;114672;37.28;-5.93
51;Algeciras;112937;36.13;-5.45
52;TorrejonDeArdoz;112114;40.46;-3.48
53;Ourense;108137;42.33;-7.87
54;Alcobendas;104118;40.54;-3.64
55;Torrevieja;102136;37.98;-0.69
56;Reus;101767;41.16;1.11
57;Barakaldo;95640;43.28;-2.98
